kept: 1323866, deleted: 1323868 
kept: 6304892, deleted: 9074601 
kept: 888672, deleted: 888831 888888 889312 
kept: 10417029, deleted: 11076755 
kept: 10021806, deleted: 10421376 
kept: 10109193, deleted: 10605093 
kept: 9593087, deleted: 10432868 
kept: 2702009, deleted: 2703726 
kept: 4936316, deleted: 5883607 6037248 
kept: 6535594, deleted: 9113076 10108956 
kept: 6524608, deleted: 8275955 
kept: 991657, deleted: 991661 991660 
kept: 10993464, deleted: 11263030 
kept: 10602467, deleted: 10985525 11187240 
kept: 10398525, deleted: 10404435 
kept: 1588549, deleted: 1668905 
kept: 10601079, deleted: 11145450 11222921 
kept: 10757213, deleted: 10978599 11064867 
kept: 10923090, deleted: 10964957 
kept: 7278256, deleted: 7633800 
kept: 10965185, deleted: 10979589 
kept: 10213425, deleted: 10222439 
kept: 3911645, deleted: 5917415 
kept: 8943134, deleted: 9347680 
kept: 5485607, deleted: 5486059 
kept: 10369953, deleted: 10756507 
kept: 10108871, deleted: 10941408 
kept: 10242655, deleted: 11187809 
kept: 8956735, deleted: 9345788 
kept: 10985104, deleted: 11091855 
kept: 7497114, deleted: 9919783 
kept: 217470, deleted: 991642 
kept: 10400798, deleted: 10923240 
kept: 115932, deleted: 396879 1430831 1591014 
kept: 469393, deleted: 746378 
kept: 211714, deleted: 211719 
kept: 10616869, deleted: 10742908 
kept: 415334, deleted: 415360 
kept: 2213670, deleted: 2215628 2623704 
kept: 213773, deleted: 892917 883470 
kept: 7508726, deleted: 8439682 
kept: 991681, deleted: 2672581 
kept: 356510, deleted: 892223 
kept: 225404, deleted: 228544 278778 279338 
kept: 227611, deleted: 943616 940405 277292 311032 
kept: 4849921, deleted: 10938871 10949332 
kept: 8813522, deleted: 9587186 
kept: 5895556, deleted: 6185234 7577794 
kept: 10353222, deleted: 10803851 10922616 11064828 
kept: 10372618, deleted: 10897121 
kept: 10372624, deleted: 10452386 
kept: 7665141, deleted: 10061802 
kept: 1003966, deleted: 4941426 10401036 10498890 11017244 
kept: 5386070, deleted: 5665269 
kept: 7926662, deleted: 9117309 
kept: 10913033, deleted: 11155771 
kept: 3875095, deleted: 5246333 
kept: 1284044, deleted: 5894180 
kept: 6374662, deleted: 10090365 
kept: 9721541, deleted: 9914681 
kept: 8293140, deleted: 10231418 10420556 10602804 
kept: 10193013, deleted: 10193410 10371061 10419678 10424466 11091622 
kept: 6586006, deleted: 9112698 
kept: 6580900, deleted: 7659060 
kept: 7677243, deleted: 9122787 
kept: 9117915, deleted: 9145003 
kept: 866165, deleted: 2246547 
kept: 994289, deleted: 1347615 2216931 
kept: 4934086, deleted: 5311015 
kept: 891212, deleted: 2245852 2477156 
kept: 1394751, deleted: 1395418 1395707 
kept: 4792151, deleted: 5911144 
kept: 10760612, deleted: 11018091 
kept: 7660331, deleted: 7660785 
kept: 10755604, deleted: 11245576 
kept: 10274653, deleted: 10824285 
kept: 10243796, deleted: 10403007 
